id,nom_medicament,nom_generique,classe_therapeutique,famille_pharmacologique,posologie_adulte,posologie_enfant,dose_maximale,frequence_administration,grossesse,allaitement
593,DOXIUM,,Cardiologie - Angéiologie > Vasculoprotecteurs et veinotoniques,CALCIUM DOBESILATE,Adulte : 3 à 6 comprimés par jour.,,,6 comprimés par jour,,
594,DOXAZOSINE TEVA,DOXAZOSINE VIATRIS LP 4 mg cp LP,Cardiologie - Angéiologie > Antihypertenseurs > Antihypertenseurs vasodilatateurs : voie orale > Alpha-bloquants > Doxazosine > Urologie - Néphrologie > Hypertrophie bénigne de la prostate,SYSTEME GENITO URINAIRE ET HORMONES SEXUELLES,"Adulte : 1 ou 2 comprimés par jour, en une prise.",,,2 comprimés par jour,L'effet de ce médicament pendant la grossesse est mal connu : seul votre médecin peut évaluer le risque éventuel de son utilisation dans votre cas.,Ce médicament passe très faiblement dans le lait maternel. Il est déconseillé pendant l'allaitement sans avis médical.
595,DOXAZOSINE SUBSTIPHARM,DOXAZOSINE VIATRIS LP 8 mg cp LP,Urologie - Néphrologie > Hypertrophie bénigne de la prostate > Alpha-bloquants > Doxazosine,SYSTEME GENITO URINAIRE ET HORMONES SEXUELLES,"Adulte : 4 ou 8 mg par jour, en une prise.",,,,L'effet de ce médicament pendant la grossesse est mal connu : seul votre médecin peut évaluer le risque éventuel de son utilisation dans votre cas.,"Ce médicament est susceptible de passer dans le lait maternel. En cas de traitement par ce médicament, l'allaitement doit être interrompu."
596,DOXAZOSINE VIATRIS,,Urologie - Néphrologie > Hypertrophie bénigne de la prostate > Alpha-bloquants > Doxazosine,SYSTEME GENITO URINAIRE ET HORMONES SEXUELLES,Adulte : 1 comprimé à 4 ou 8 mg par jour.,,,,,
597,DOXAZOSINE ARROW,DOXAZOSINE VIATRIS LP 8 mg cp LP,Cardiologie - Angéiologie > Antihypertenseurs > Antihypertenseurs vasodilatateurs : voie orale > Alpha-bloquants > Doxazosine > Urologie - Néphrologie > Hypertrophie bénigne de la prostate,SYSTEME GENITO URINAIRE ET HORMONES SEXUELLES,Adulte : 1 comprimé par jour.,,,1 comprimé par jour,L'effet de ce médicament pendant la grossesse est mal connu : seul votre médecin peut évaluer le risque éventuel de son utilisation dans votre cas.,"Ce médicament est susceptible de passer dans le lait maternel. En cas de traitement par ce médicament, l'allaitement doit être interrompu."
598,DOVPRELA,,Infectiologie - Parasitologie > Antituberculeux > Antituberculeux non associés > Prétomanid,PRETOMANID,,,,,,
599,DOVATO,,Infectiologie - Parasitologie > Traitement antiviral du VIH > Inhibiteur(s) nucléosidique(s) de la reverse transcriptase + inhibiteur d'intégrase > Lamivudine + dolutégravir > Antiviraux > Virus de l'Immunodéficience Humaine,Association d'antirétroviraux,Adulte et adolescent de plus de 12 ans (pesant au moins 40 kg) : 1 comprimé par jour.,Adulte et adolescent de plus de 12 ans (pesant au moins 40 kg) : 1 comprimé par jour.,,1 comprimé par jour,"Une étude a montré une légère augmentation du risque de malformations chez l'enfant à naître en cas d'utilisation du dolutégravir au début de la grossesse. Chez les femmes en âge de procréer, une contraception efficace est habituellement recommandée pendant le traitement. Si vous envisagez une grossesse ou si une grossesse survient au cours du traitement, consultez rapidement votre médecin. Il évaluera le risque éventuel de la poursuite du traitement pendant votre grossesse. Attention, une interruption intempestive de votre traitement antirétroviral expose à un risque d'apparition de VIH résistants.","Ce médicament passe dans le lait maternel. De plus, l'infection par le VIH contre-indique l'allaitement."
600,DOSTINEX,,Endocrinologie > Inhibiteurs de la prolactine > Cabergoline,Inhibiteur de la,"Arrêt de la montée de lait après l'accouchement : 2 comprimés en une seule prise, à prendre dans les 24 heures qui suivent l'accouchement. Arrêt de l'allaitement : 1/2 comprimé, matin et soir pendant 2 jours (soit 2 comprimés au total). Conséquences d'un excès de prolactine : 1 comprimé par semaine. Après 4 semaines de traitement, un dosage de la prolactine dans le sang permettra au médecin d'adapter la posologie.",,,1 comprimé par semaine,L'effet de ce médicament pendant la grossesse est mal connu : seul votre médecin peut évaluer le risque éventuel de son utilisation dans votre cas.,Ce médicament bloque la lactation.
601,DOTAREM,,Produits de diagnostic > Produits de contraste > Imagerie par résonance magnétique (IRM) > Voie IV > Sels de gadolinium,ACIDE GADOTERIQUE,,,,,,
602,DOSTARLIMAB,,Classification pharmacothérapeutique VIDAL: Cancérologie - Hématologie > Antinéoplasiques > Anticorps monoclonaux > AcM anti-PD-1/anti-PDL-1 > Dostarlimab || Classification ATC: ANTINEOPLASIQUES ET IMMUNOMODULATEURS > ANTINEOPLASIQUES > ANTICORPS MONOCLONAUX ET ANTICORPS-MEDICAMENTS CONJUGUES > INHIBITEURS DE PD-1/PD-L1 (PROGRAMMED CELL DEATH PROTEIN 1/DEATH LIGAND 1) > DOSTARLIMAB,Dostarlimab,,,,,,
603,DORZOLAMIDE/TIMOLOL ZENTIVA,COSOPT 20 mg/ml + 5 mg/ml collyre sol,Ophtalmologie > Antiglaucomateux > Voie locale > Associations d'antiglaucomateux > Bêtabloquant + inhibiteur de l'anhydrase carbonique,Collyre antiglaucomateux,"Adulte : 1 goutte, 2 fois par jour.",,,2 fois par jour,,
604,DORZOLAMIDE/TIMOLOL VIATRIS,COSOPT 20 mg/ml + 5 mg/ml collyre sol,Ophtalmologie > Antiglaucomateux > Voie locale > Associations d'antiglaucomateux > Bêtabloquant + inhibiteur de l'anhydrase carbonique,Collyre antiglaucomateux,"Adulte : 1 goutte, 2 fois par jour.",,,2 fois par jour,,
605,DOSOXYGENEE,,Hémostase - Hématopoïèse - Hémoglobinopathies > Antihémorragiques > Hémostatiques locaux > Divers hémostatiques locaux > Dermatologie > Antiseptiques locaux > Hydrogène peroxyde,Antiseptique local et antihémorragique,,,,,,"Il peut être appliqué sur le mamelon, qui doit être rincé avant la tétée."
606,DOSISEPTINE,,Dermatologie > Antiseptiques locaux > Chlorhexidine,Antiseptique local,2 applications par jour.,,,,,
607,DORZOLAMIDE/TIMOLOL EG,COSOPT 20 mg/ml + 5 mg/ml collyre sol,Ophtalmologie > Antiglaucomateux > Voie locale > Associations d'antiglaucomateux > Bêtabloquant + inhibiteur de l'anhydrase carbonique,Collyre antiglaucomateux,"Adulte : 1 goutte, 2 fois par jour.",,,2 fois par jour,,
608,DORZOLAMIDE/TIMOLOL CRISTERS,COSOPT 20 mg/ml + 5 mg/ml collyre sol,Ophtalmologie > Antiglaucomateux > Voie locale > Associations d'antiglaucomateux > Bêtabloquant + inhibiteur de l'anhydrase carbonique,Collyre antiglaucomateux,"Adulte : 1 goutte, 2 fois par jour.",,,2 fois par jour,,
609,DORZOLAMIDE/TIMOLOL BGR,COSOPT 20 mg/ml + 5 mg/ml collyre sol,Ophtalmologie > Antiglaucomateux > Voie locale > Associations d'antiglaucomateux > Bêtabloquant + inhibiteur de l'anhydrase carbonique,Collyre antiglaucomateux,"Adulte : 1 goutte, 2 fois par jour.",,,2 fois par jour,,
610,DORZOLAMIDE/TIMOLOL ARROW,COSOPT 20 mg/ml + 5 mg/ml collyre sol,Ophtalmologie > Antiglaucomateux > Voie locale > Associations d'antiglaucomateux > Bêtabloquant + inhibiteur de l'anhydrase carbonique,Collyre antiglaucomateux,"Adulte : 1 goutte, 2 fois par jour.",,,2 fois par jour,,
611,DORZOLAMIDE VIATRIS,TRUSOPT 20 mg/ml collyre sol,Ophtalmologie > Antiglaucomateux > Voie locale > Inhibiteurs de l'anhydrase carbonique > Dorzolamide,Antiglaucomateux,"Adulte : 1 goutte, 3 fois par jour si ce collyre est utilisé seul ; 1 goutte, 2 fois par jour si le traitement comporte également un collyre bêtabloquant.",,,3 fois par jour,,
612,DORZOLAMIDE EG,TRUSOPT 20 mg/ml collyre sol,Ophtalmologie > Antiglaucomateux > Voie locale > Inhibiteurs de l'anhydrase carbonique > Dorzolamide,Antiglaucomateux,"Adulte : 1 goutte, 3 fois par jour si ce collyre est utilisé seul ; 1 goutte, 2 fois par jour si le traitement comporte également un collyre bêtabloquant.",,,3 fois par jour,,
613,DORZOLAMIDE CRISTERS,TRUSOPT 20 mg/ml collyre sol,Ophtalmologie > Antiglaucomateux > Voie locale > Inhibiteurs de l'anhydrase carbonique > Dorzolamide,Antiglaucomateux,"Adulte : 1 goutte, 3 fois par jour si ce collyre est utilisé seul ; 1 goutte, 2 fois par jour si le traitement comporte également un collyre bêtabloquant.",,,3 fois par jour,,
614,DORZOLAMIDE BGR,TRUSOPT 20 mg/ml collyre sol,Ophtalmologie > Antiglaucomateux > Voie locale > Inhibiteurs de l'anhydrase carbonique > Dorzolamide,Antiglaucomateux,"Adulte : 1 goutte, 3 fois par jour si ce collyre est utilisé seul ; 1 goutte, 2 fois par jour si le traitement comporte également un collyre bêtabloquant.",,,3 fois par jour,,
615,DORZOLAMIDE ARROW,TRUSOPT 20 mg/ml collyre sol,Ophtalmologie > Antiglaucomateux > Voie locale > Inhibiteurs de l'anhydrase carbonique > Dorzolamide,Antiglaucomateux,"Adulte : 1 goutte, 3 fois par jour si ce collyre est utilisé seul ou 1 goutte, 2 fois par jour si le traitement comporte également un collyre bêtabloquant.",,,3 fois par jour,,
616,DORMICALM,,Psychiatrie > Sédatifs > Phytothérapie,SYSTEME NERVEUX,"Adulte et adolescent de plus de 12 ans :Nervosité : 1 comprimé, 3 fois par jour.Troubles du sommeil : 2 comprimés, 1/2 heure avant le coucher. La prise peut être renouvelée si nécessaire.","Adulte et adolescent de plus de 12 ans :Nervosité : 1 comprimé, 3 fois par jour.Troubles du sommeil : 2 comprimés, 1/2 heure avant le coucher. La prise peut être renouvelée si nécessaire.",Ne pas dépasser 6 comprimés par jour et 1 mois de traitement sans avis médical,3 fois par jour,,
617,DORIBAX,,,,,,,,,
618,DOPRAM,,Pneumologie > Analeptiques respiratoires > Doxapram,DOXAPRAM,,,,,,
619,DOPS OD,,,,,,,,,
620,DOPAVIEW,,Produits de diagnostic > Produits radiopharmaceutiques > Détection d'une tumeur > Système nerveux central,18F-FLUORODOPA,,,,,,
621,DOPACIS,,Produits de diagnostic > Produits radiopharmaceutiques > Détection d'une tumeur > Système nerveux central,18F-FLUORODOPA,,,,,,
622,DONEPEZIL ZYDUS,ARICEPT 10 mg cp orodispers,Classification pharmacothérapeutique VIDAL: Neurologie > Maladie d'Alzheimer et autres démences > Anticholinestérasiques > Voie orale > Donépézil || Classification ATC: SYSTEME NERVEUX > PSYCHOANALEPTIQUES > MEDICAMENTS CONTRE LA DEMENCE > ANTICHOLINESTERASIQUES > DONEPEZIL,Antialzheimer,"Adulte : la dose initiale est de 5 mg par jour. Après 1 mois de traitement, en fonction des résultats, la dose peut être augmentée à 10 mg par jour.",,,,,
623,DOPACEPTIN,,Neurologie > Antiparkinsoniens > Dopaminergiques > Agonistes dopaminergiques > Apomorphine,APOMORPHINE,,,,,,
624,DOPAMINE VIATRIS,,Anesthésie - Réanimation > Sympathomimétiques IV > Dopamine > Cardiologie - Angéiologie > Insuffisance cardiaque > Insuffisance cardiaque aiguë > Sympathomimétiques injectables,DOPAMINE,,,,,,
625,DONORMYL,,Psychiatrie > Hypnotiques > Antihistaminiques H1,Hypnotique,"Adulte : 1/2 à 1 comprimé par jour. La posologie peut être portée à 2 comprimés par jour selon la sensibilité individuelle. Il est recommandé d'utiliser la posologie la plus faible chez la personne âgée, l'insuffisant rénal ou l'insuffissant hépatique.",,,1 comprimé par jour,"Ce médicament peut être utilisé pendant la grossesse après avis médical. En cas de prise en fin de grossesse, une surveillance du nouveau-né peut être nécessaire.",Les données disponibles ne permettent pas de savoir si ce médicament passe dans le lait maternel : il est déconseillé pendant l'allaitement.
626,DONEPEZIL KRKA,ARICEPT 10 mg cp orodispers,Classification pharmacothérapeutique VIDAL: Neurologie > Maladie d'Alzheimer et autres démences > Anticholinestérasiques > Voie orale > Donépézil || Classification ATC: SYSTEME NERVEUX > PSYCHOANALEPTIQUES > MEDICAMENTS CONTRE LA DEMENCE > ANTICHOLINESTERASIQUES > DONEPEZIL,Antialzheimer,"Adulte : la dose initiale est de 5 mg par jour. Après 1 mois de traitement, en fonction des résultats, la dose peut être augmentée à 10 mg par jour.",,,,,
627,DONEPEZIL SANDOZ,ARICEPT 10 mg cp orodispers,Classification pharmacothérapeutique VIDAL: Neurologie > Maladie d'Alzheimer et autres démences > Anticholinestérasiques > Voie orale > Donépézil || Classification ATC: SYSTEME NERVEUX > PSYCHOANALEPTIQUES > MEDICAMENTS CONTRE LA DEMENCE > ANTICHOLINESTERASIQUES > DONEPEZIL,Antialzheimer,"Adulte : la dose initiale est de 5 mg par jour pendant au moins 1 mois. En fonction des résultats, elle peut être augmentée à 10 mg par jour.",,,,,
628,DONEPEZIL TEVA,ARICEPT 10 mg cp orodispers,Classification pharmacothérapeutique VIDAL: Neurologie > Maladie d'Alzheimer et autres démences > Anticholinestérasiques > Voie orale > Donépézil || Classification ATC: SYSTEME NERVEUX > PSYCHOANALEPTIQUES > MEDICAMENTS CONTRE LA DEMENCE > ANTICHOLINESTERASIQUES > DONEPEZIL,Antialzheimer,"Adulte : la dose initiale est de 5 mg par jour. Après 1 mois de traitement, en fonction des résultats, la dose peut être augmentée à 10 mg par jour.",,,,,
629,DONEPEZIL VIATRIS,ARICEPT 10 mg cp orodispers,Classification pharmacothérapeutique VIDAL: Neurologie > Maladie d'Alzheimer et autres démences > Anticholinestérasiques > Voie orale > Donépézil || Classification ATC: SYSTEME NERVEUX > PSYCHOANALEPTIQUES > MEDICAMENTS CONTRE LA DEMENCE > ANTICHOLINESTERASIQUES > DONEPEZIL,Antialzheimer,"Adulte : la dose initiale est de 5 mg par jour. Après 1 mois de traitement, en fonction des résultats, la dose peut être augmentée à 10 mg par jour.",,,,,
630,DONEPEZIL ZENTIVA,ARICEPT 10 mg cp orodispers,Classification pharmacothérapeutique VIDAL: Neurologie > Maladie d'Alzheimer et autres démences > Anticholinestérasiques > Voie orale > Donépézil || Classification ATC: SYSTEME NERVEUX > PSYCHOANALEPTIQUES > MEDICAMENTS CONTRE LA DEMENCE > ANTICHOLINESTERASIQUES > DONEPEZIL,Antialzheimer,"Adulte : la dose initiale est de 5 mg par jour. Après 1 mois de traitement, en fonction des résultats, la dose peut être augmentée à 10 mg par jour.",,,,,
631,DONEPEZIL CRISTERS,ARICEPT 10 mg cp orodispers,Classification pharmacothérapeutique VIDAL: Neurologie > Maladie d'Alzheimer et autres démences > Anticholinestérasiques > Voie orale > Donépézil || Classification ATC: SYSTEME NERVEUX > PSYCHOANALEPTIQUES > MEDICAMENTS CONTRE LA DEMENCE > ANTICHOLINESTERASIQUES > DONEPEZIL,Antialzheimer,"Adulte : la dose initiale est de 5 mg par jour. Après 1 mois de traitement, en fonction des résultats, la dose peut être augmentée à 10 mg par jour.",,,,,
632,DONEPEZIL ALTER,,Classification pharmacothérapeutique VIDAL: Neurologie > Maladie d'Alzheimer et autres démences > Anticholinestérasiques > Voie orale > Donépézil || Classification ATC: SYSTEME NERVEUX > PSYCHOANALEPTIQUES > MEDICAMENTS CONTRE LA DEMENCE > ANTICHOLINESTERASIQUES > DONEPEZIL,Donépézil,,,,,,
633,DONEPEZIL ARROW,ARICEPT 10 mg cp orodispers,Classification pharmacothérapeutique VIDAL: Neurologie > Maladie d'Alzheimer et autres démences > Anticholinestérasiques > Voie orale > Donépézil || Classification ATC: SYSTEME NERVEUX > PSYCHOANALEPTIQUES > MEDICAMENTS CONTRE LA DEMENCE > ANTICHOLINESTERASIQUES > DONEPEZIL,Antialzheimer,"Adulte : la dose initiale est de 5 mg par jour. Après 1 mois de traitement, en fonction des résultats, la dose peut être augmentée à 10 mg par jour.",,,,,
634,DONEPEZIL BIOGARAN,ARICEPT 10 mg cp orodispers,Classification pharmacothérapeutique VIDAL: Neurologie > Maladie d'Alzheimer et autres démences > Anticholinestérasiques > Voie orale > Donépézil || Classification ATC: SYSTEME NERVEUX > PSYCHOANALEPTIQUES > MEDICAMENTS CONTRE LA DEMENCE > ANTICHOLINESTERASIQUES > DONEPEZIL,Antialzheimer,"Adulte : la dose initiale est de 5 mg par jour. Après 1 mois de traitement, en fonction des résultats, la dose peut être augmentée à 10 mg par jour.",,,,,
635,DONASERT,,Gynécologie - Obstétrique > Contraception > Contraceptifs locaux > Dispositifs intra-utérins (DIU) > DIU au lévonorgestrel,DIU EN PLASTIQUE AVEC DES PROGESTATIFS,,,,,"La pose d'un dispositif intra-utérin est contre-indiquée pendant la grossesse. Si une grossesse survient malgré la présence du dispositif, consultez rapidement votre médecin.","La quantité d'hormone qui passe dans le sang, et donc dans le lait maternel, est très faible ; la pose d'un stérilet au lévonorgestrel est possible pendant l'allaitement. Après un accouchement, un délai d'au moins 6 semaines est nécessaire avant la pose d'un dispositif intra-utérin."
636,DOMPERIDONE ZYDUS,MOTILIUM et de PÉRIDYS (qui n'est plus commercialisé),Gastro - Entéro - Hépatologie > Nausées et vomissements > Antagonistes de la dopamine > Dompéridone,Antiémétique,"Adulte et enfant de plus de 12 ans et pesant plus de 35 kg : 1 comprimé, 1 à 3 fois par jour.","Adulte et enfant de plus de 12 ans et pesant plus de 35 kg : 1 comprimé, 1 à 3 fois par jour.",,3 fois par jour,L'effet de ce médicament pendant la grossesse est mal connu : seul votre médecin peut évaluer le risque éventuel de son utilisation dans votre cas.,Ce médicament passe faiblement dans le lait maternel. Un choix doit être fait entre l'allaitement et la prise du médicament. Cette décision sera prise en accord avec votre médecin.
637,DOMPERIDONE TEVA,MOTILIUM et de PÉRIDYS (qui n'est plus commercialisé),Gastro - Entéro - Hépatologie > Nausées et vomissements > Antagonistes de la dopamine > Dompéridone,Antiémétique,"Adulte et adolescent de plus de 12 ans (pesant plus de 35 kg) : 1 comprimé, 1 à 3 fois par jour.","Adulte et adolescent de plus de 12 ans (pesant plus de 35 kg) : 1 comprimé, 1 à 3 fois par jour.",,3 fois par jour,L'effet de ce médicament pendant la grossesse est mal connu : seul votre médecin peut évaluer le risque éventuel de son utilisation dans votre cas.,Ce médicament passe faiblement dans le lait maternel. Un choix doit être fait entre l'allaitement et la prise du médicament. Cette décision sera prise en accord avec votre médecin.
638,DOMPERIDONE VIATRIS,MOTILIUM et de PÉRIDYS (qui n'est plus commercialisé),Gastro - Entéro - Hépatologie > Nausées et vomissements > Antagonistes de la dopamine > Dompéridone,Antiémétique,"Adulte et enfant de plus de 12 ans et pesant plus de 35 kg : 1 comprimé, 1 à 3 fois par jour.","Adulte et enfant de plus de 12 ans et pesant plus de 35 kg : 1 comprimé, 1 à 3 fois par jour.",,3 fois par jour,L'effet de ce médicament pendant la grossesse est mal connu : seul votre médecin peut évaluer le risque éventuel de son utilisation dans votre cas.,Ce médicament passe faiblement dans le lait maternel. Un choix doit être fait entre l'allaitement et la prise du médicament. Cette décision sera prise en accord avec votre médecin.
639,DOMPERIDONE SANDOZ,,Gastro - Entéro - Hépatologie > Nausées et vomissements > Antagonistes de la dopamine > Dompéridone,DOMPERIDONE,"Adulte et enfant de plus de 12 ans et pesant plus de 35 kg : 1 comprimé, 1 à 3 fois par jour. Adulte et enfant de plus de 12 ans et pesant plus de 35 kg : 1 comprimé, 1 à 3 fois par jour.","Adulte et enfant de plus de 12 ans et pesant plus de 35 kg : 1 comprimé, 1 à 3 fois par jour. Adulte et enfant de plus de 12 ans et pesant plus de 35 kg : 1 comprimé, 1 à 3 fois par jour.",,3 fois par jour,L'effet de ce médicament pendant la grossesse est mal connu : seul votre médecin peut évaluer le risque éventuel de son utilisation dans votre cas.,Ce médicament passe faiblement dans le lait maternel. Un choix doit être fait entre l'allaitement et la prise du médicament. Cette décision sera prise en accord avec votre médecin.
640,DOMPERIDONE ZENTIVA,MOTILIUM et de PÉRIDYS (qui n'est plus commercialisé),Gastro - Entéro - Hépatologie > Nausées et vomissements > Antagonistes de la dopamine > Dompéridone,Antiémétique,"Adulte et enfant de plus de 12 ans et pesant plus de 35 kg : 1 comprimé, 1 à 3 fois par jour.","Adulte et enfant de plus de 12 ans et pesant plus de 35 kg : 1 comprimé, 1 à 3 fois par jour.",,3 fois par jour,L'effet de ce médicament pendant la grossesse est mal connu : seul votre médecin peut évaluer le risque éventuel de son utilisation dans votre cas.,Ce médicament passe faiblement dans le lait maternel. Un choix doit être fait entre l'allaitement et la prise du médicament. Cette décision sera prise en accord avec votre médecin.
641,DOMPERIDONE EG,,Gastro - Entéro - Hépatologie > Nausées et vomissements > Antagonistes de la dopamine > Dompéridone,Antiémétique,"Adulte et enfant de plus de 12 ans et pesant plus de 35 kg : 1 comprimé, 1 à 3 fois par jour.","Adulte et enfant de plus de 12 ans et pesant plus de 35 kg : 1 comprimé, 1 à 3 fois par jour.",,3 fois par jour,L'effet de ce médicament pendant la grossesse est mal connu : seul votre médecin peut évaluer le risque éventuel de son utilisation dans votre cas.,Ce médicament passe faiblement dans le lait maternel. Un choix doit être fait entre l'allaitement et la prise du médicament. Cette décision sera prise en accord avec votre médecin.
642,DOMPERIDONE ALMUS,MOTILIUM et de PÉRIDYS (qui n'est plus commercialisé),Gastro - Entéro - Hépatologie > Nausées et vomissements > Antagonistes de la dopamine > Dompéridone,Antiémétique,"Adulte et adolescent de plus de 12 ans (pesant plus de 35 kg) : 1 comprimé, 1 à 3 fois par jour.","Adulte et adolescent de plus de 12 ans (pesant plus de 35 kg) : 1 comprimé, 1 à 3 fois par jour.",,3 fois par jour,L'effet de ce médicament pendant la grossesse est mal connu : seul votre médecin peut évaluer le risque éventuel de son utilisation dans votre cas.,Ce médicament passe faiblement dans le lait maternel. Un choix doit être fait entre l'allaitement et la prise du médicament. Cette décision sera prise en accord avec votre médecin.
643,DOMILA,,Stomatologie > Antalgiques et/ou anti-inflammatoires locaux > Homéopathie,VOIES DIGESTIVES ET METABOLISME,Consultez votre médecin si les symptômes persistent plus de 3 jours.,Nourrisson et enfant de plus de 3 mois : 1 à 2 suppositoires par jour.,,,,
644,DOMPERIDONE ARROW,MOTILIUM et de PÉRIDYS (qui n'est plus commercialisé),Gastro - Entéro - Hépatologie > Nausées et vomissements > Antagonistes de la dopamine > Dompéridone,Antiémétique,"Adulte et enfant de plus de 12 ans et pesant plus de 35 kg : 1 comprimé, 1 à 3 fois par jour.","Adulte et enfant de plus de 12 ans et pesant plus de 35 kg : 1 comprimé, 1 à 3 fois par jour.",,3 fois par jour,L'effet de ce médicament pendant la grossesse est mal connu : seul votre médecin peut évaluer le risque éventuel de son utilisation dans votre cas.,Ce médicament passe faiblement dans le lait maternel. Un choix doit être fait entre l'allaitement et la prise du médicament. Cette décision sera prise en accord avec votre médecin.
645,DOMPERIDONE BIOGARAN,MOTILIUM et de PÉRIDYS (qui n'est plus commercialisé),Gastro - Entéro - Hépatologie > Nausées et vomissements > Antagonistes de la dopamine > Dompéridone,Antiémétique,"Adulte et enfant de plus de 12 ans et pesant plus de 35 kg : 1 comprimé, 1 à 3 fois par jour.","Adulte et enfant de plus de 12 ans et pesant plus de 35 kg : 1 comprimé, 1 à 3 fois par jour.",,3 fois par jour,L'effet de ce médicament pendant la grossesse est mal connu : seul votre médecin peut évaluer le risque éventuel de son utilisation dans votre cas.,Ce médicament passe faiblement dans le lait maternel. Un choix doit être fait entre l'allaitement et la prise du médicament. Cette décision sera prise en accord avec votre médecin.
646,DOLOSPASMYL,METEOSPASMYL caps molle,Gastro - Entéro - Hépatologie > Troubles fonctionnels digestifs et/ou biliaires > Antispasmodiques à visée digestive > Antispasmodiques musculotropes > Associés,Antispasmodique à visée digestive,"Adulte : 1 capsule, 2 ou 3 fois par jour.",,,3 fois par jour,,
647,DOLODENT,,Stomatologie > Antalgiques et/ou anti-inflammatoires locaux > Douleurs de la poussée dentaire,Préparation buccale,2 ou 3 applications par jour. La durée du traitement ne doit pas dépasser 5 jours sans avis médical.,,,,,
648,"DOLIRHUMEPRO PARACETAMOL, PSEUDOEPHEDRINE ET DOXYLAMINE",,Oto - Rhino - Laryngologie > Congestion nasale > Voie orale > Vasoconstricteurs > Vasoconstricteur + antihistaminique H1 + antipyrétique,AUTRES MEDICAMENTS DU RHUME,"Adulte et adolescent de plus 15 ans : 1 comprimé Jour, 1 à 3 fois dans la journée (matin, midi, dîner) et 1 comprimé Nuit le soir au coucher.","Adulte et adolescent de plus 15 ans : 1 comprimé Jour, 1 à 3 fois dans la journée (matin, midi, dîner) et 1 comprimé Nuit le soir au coucher.",,,"En raison de la présence de pseudoéphédrine, l'usage de ce médicament est déconseillé chez la femme enceinte.",Ce médicament passe dans le lait maternel. Il est contre-indiqué pendant l'allaitement.
649,DOLOSOFT,,Rhumatologie > Arthrose et diverses affections rhumatismales > Traitements d'appoint dans les affections rhumatismales > Phytothérapie,MUSCLE ET SQUELETTE,"Adulte de plus de 18 ans : 1 à 6 comprimés par jour, répartis en plusieurs prises.",,,6 comprimés par jour,,
650,DOLKO,,Antalgiques - Antipyrétiques - Antispasmodiques > Antalgiques non opioïdes > Antalgiques non opioïdes seuls > Paracétamol > Solutions ou suspensions buvables,Antalgique et,,"Enfant de 3,5 à 12 kg : 60 mg par kg et par jour, soit 15 mg par kg toutes les 6 heures ou 10 mg par kg toutes les 4 heures. Soit pour un enfant de 10 kg : 2 mesures remplies jusqu'à la graduation 5 kg, 1 à 4 fois par jour.La dose quotidienne maximale de paracétamol chez l'enfant est de 80 mg par kg, en 4 prises minimum, sans dépasser 3 g par jour. La dose quotidienne maximale de paracétamol chez l'enfant est de 80 mg par kg, en 4 prises minimum, sans dépasser 3 g par jour.",,4 fois par jour,,
651,DOLIRHUME PARACETAMOL ET PSEUDOEPHEDRINE,,Oto - Rhino - Laryngologie > Congestion nasale > Voie orale > Vasoconstricteurs > Vasoconstricteur + antipyrétique,PSEUDOEPHEDRINE EN ASSOCIATION,"Adulte et adolescent de plus de 15 ans : 1 ou 2 comprimés, 3 fois par jour.","Adulte et adolescent de plus de 15 ans : 1 ou 2 comprimés, 3 fois par jour.",,3 fois par jour,"En raison de la présence de pseudoéphédrine, l'usage de ce médicament est déconseillé chez la femme enceinte.",Ce médicament passe dans le lait maternel. Il est contre-indiqué pendant l'allaitement.
652,DOLIPRANEVITAMINEC,,Antalgiques - Antipyrétiques - Antispasmodiques > Antalgiques non opioïdes > Antalgiques non opioïdes en association > Paracétamol + acide ascorbique,PARACETAMOL EN ASSOCIATION SAUF AUX PSYCHOLEPTIQUES,"Adulte et adolescent pesant plus de 50 kg (à partir d'environ 15 ans) : 1 à 2 comprimés, à renouveler si nécessaire au bout de 4 heures, sans dépasser 6 comprimés par jour.Dans les douleurs intenses et notamment dans l'arthrose, la posologie maximale peut être portée à 1 g de paracétamol (2 comprimés), 4 fois par jour, uniquement sur prescription médicale.","Adulte et adolescent pesant plus de 50 kg (à partir d'environ 15 ans) : 1 à 2 comprimés, à renouveler si nécessaire au bout de 4 heures, sans dépasser 6 comprimés par jour.Dans les douleurs intenses et notamment dans l'arthrose, la posologie maximale peut être portée à 1 g de paracétamol (2 comprimés), 4 fois par jour, uniquement sur prescription médicale. Enfant de 41 à 50 kg (environ 13 à 15 ans) : 1 comprimé, à renouveler si nécessaire au bout de 4 heures, sans dépasser 6 comprimés par jour. Enfant de 27 à 40 kg (environ 8 à 13 ans) : 1 comprimé, à renouveler si nécessaire au bout de 6 heures, sans dépasser 4 comprimés par jour.",,6 comprimés par jour,"Les études scientifiques actuellement disponibles n'ont pas mis en évidence de problème particulier lors de l'utilisation du paracétamol chez la femme enceinte. Cependant, il doit être utilisé à la dose efficace la plus faible et pendant la durée la plus courte possible.","Aux doses usuelles, l'usage de ce médicament est possible pendant l'allaitement."
